redizo,school_name,serving_mc,address,zrizovatel,cohort_birth_year,entry_year,births_mc,streets_school,streets_mc,catchment_share,kapacita_registered,capacity_entry_grade,expected_entrants_ceiling,expected_entrants_corrected,external_flow_ratio_used,pressure_ceiling,pressure_corrected,pressure_corrected_min,pressure_corrected_max
600039765,"Základní škola, Praha 8, Glowackého 6",Praha 8,"Glowackého 555/6, Troja, 181 00 Praha",Městská část Praha 8,2021,2027,1228,27,527,0.0512,800,80.0,62.9,36.3,0.5777,0.786,0.454,0.409,0.505
600039919,"Základní škola, Praha 8, Hovorčovická 11",Praha 8,"Hovorčovická 1281/11, Kobylisy, 182 00 Praha",Městská část Praha 8,2021,2027,1228,25,527,0.0474,750,75.0,58.3,33.7,0.5777,0.777,0.449,0.404,0.499
600039803,"Základní škola a mateřská škola, Praha 8, Lyčkovo náměstí 6",Praha 8,"Lyčkovo náměstí 460/6, Karlín, 186 00 Praha",Městská část Praha 8,2021,2027,1228,30,527,0.0569,924,92.4,69.9,40.4,0.5777,0.757,0.437,0.393,0.486
600039773,"Základní škola a mateřská škola Ústavní, Praha 8, Hlivická 1",Praha 8,"Hlivická 400/1, Bohnice, 181 00 Praha",Městská část Praha 8,2021,2027,1228,21,527,0.0398,750,75.0,48.9,28.3,0.5777,0.652,0.377,0.339,0.419
600039854,"Základní škola Mazurská, Praha 8, Svídnická 1a",Praha 8,"Svídnická 599/1, Troja, 181 00 Praha",Městská část Praha 8,2021,2027,1228,17,527,0.0323,630,63.0,39.6,22.9,0.5777,0.629,0.363,0.327,0.404
600039889,"Základní škola a mateřská škola Petra Strozziho, Praha 8, Za Invalidovnou 3",Praha 8,"Za invalidovnou 579/3, Karlín, 186 00 Praha",Městská část Praha 8,2021,2027,1228,10,527,0.019,380,38.0,23.3,13.5,0.5777,0.613,0.354,0.319,0.394
600039749,"Základní škola, Praha 8, Burešova 14",Praha 8,"Burešova 1130/14, Kobylisy, 182 00 Praha",Městská část Praha 8,2024,2030,896,34,527,0.0645,1000,100.0,57.8,33.4,0.5777,0.578,0.334,0.301,0.371
600039765,"Základní škola, Praha 8, Glowackého 6",Praha 8,"Glowackého 555/6, Troja, 181 00 Praha",Městská část Praha 8,2024,2030,896,27,527,0.0512,800,80.0,45.9,26.5,0.5777,0.574,0.331,0.298,0.368
600039919,"Základní škola, Praha 8, Hovorčovická 11",Praha 8,"Hovorčovická 1281/11, Kobylisy, 182 00 Praha",Městská část Praha 8,2024,2030,896,25,527,0.0474,750,75.0,42.5,24.6,0.5777,0.567,0.327,0.295,0.364
600039803,"Základní škola a mateřská škola, Praha 8, Lyčkovo náměstí 6",Praha 8,"Lyčkovo náměstí 460/6, Karlín, 186 00 Praha",Městská část Praha 8,2024,2030,896,30,527,0.0569,924,92.4,51.0,29.5,0.5777,0.552,0.319,0.287,0.354
600039757,"Základní škola a mateřská škola, Praha 8, Dolákova 1",Praha 8,"Dolákova 555/1, Bohnice, 181 00 Praha",Městská část Praha 8,2021,2027,1228,10,527,0.019,475,47.5,23.3,13.5,0.5777,0.491,0.283,0.255,0.315
600039773,"Základní škola a mateřská škola Ústavní, Praha 8, Hlivická 1",Praha 8,"Hlivická 400/1, Bohnice, 181 00 Praha",Městská část Praha 8,2024,2030,896,21,527,0.0398,750,75.0,35.7,20.6,0.5777,0.476,0.275,0.247,0.306
600039854,"Základní škola Mazurská, Praha 8, Svídnická 1a",Praha 8,"Svídnická 599/1, Troja, 181 00 Praha",Městská část Praha 8,2024,2030,896,17,527,0.0323,630,63.0,28.9,16.7,0.5777,0.459,0.265,0.239,0.294
600039889,"Základní škola a mateřská škola Petra Strozziho, Praha 8, Za Invalidovnou 3",Praha 8,"Za invalidovnou 579/3, Karlín, 186 00 Praha",Městská část Praha 8,2024,2030,896,10,527,0.019,380,38.0,17.0,9.8,0.5777,0.447,0.258,0.233,0.287
600039757,"Základní škola a mateřská škola, Praha 8, Dolákova 1",Praha 8,"Dolákova 555/1, Bohnice, 181 00 Praha",Městská část Praha 8,2024,2030,896,10,527,0.019,475,47.5,17.0,9.8,0.5777,0.358,0.207,0.186,0.23
600040551,Základní škola a Mateřská škola Na Balabence,Praha 9,"náměstí Na Balabence 800/7, Libeň, 190 00 Praha",Městská část Praha 9,2021,2027,895,92,263,0.3498,898,89.8,313.1,180.9,0.5777,3.486,2.014,1.813,2.238
600040551,Základní škola a Mateřská škola Na Balabence,Praha 9,"náměstí Na Balabence 800/7, Libeň, 190 00 Praha",Městská část Praha 9,2024,2030,684,92,263,0.3498,898,89.8,239.3,138.2,0.5777,2.664,1.539,1.385,1.71
691017379,"Základní škola a Mateřská škola Elektra, příspěvková organizace",Praha 9,"Sousedíkova 1044/8, Vysočany, 190 00 Praha",Městská část Praha 9,2021,2027,895,25,263,0.0951,340,34.0,85.1,49.1,0.5777,2.502,1.445,1.301,1.606
600040542,Základní škola Litvínovská 600,Praha 9,"Litvínovská 600/1, Prosek, 190 00 Praha",Městská část Praha 9,2021,2027,895,43,263,0.1635,700,70.0,146.3,84.5,0.5777,2.09,1.208,1.087,1.342
600040569,Základní škola Špitálská,Praha 9,"Špitálská 789/4, Vysočany, 190 00 Praha",Městská část Praha 9,2021,2027,895,44,263,0.1673,720,72.0,149.7,86.5,0.5777,2.08,1.201,1.081,1.335
691017379,"Základní škola a Mateřská škola Elektra, příspěvková organizace",Praha 9,"Sousedíkova 1044/8, Vysočany, 190 00 Praha",Městská část Praha 9,2024,2030,684,25,263,0.0951,340,34.0,65.0,37.6,0.5777,1.912,1.105,0.994,1.227
600040542,Základní škola Litvínovská 600,Praha 9,"Litvínovská 600/1, Prosek, 190 00 Praha",Městská část Praha 9,2024,2030,684,43,263,0.1635,700,70.0,111.8,64.6,0.5777,1.598,0.923,0.831,1.025
600040569,Základní škola Špitálská,Praha 9,"Špitálská 789/4, Vysočany, 190 00 Praha",Městská část Praha 9,2024,2030,684,44,263,0.1673,720,72.0,114.4,66.1,0.5777,1.589,0.918,0.826,1.02
600040534,Základní škola Litvínovská 500,Praha 9,"Litvínovská 500/5, Prosek, 190 00 Praha",Městská část Praha 9,2021,2027,895,27,263,0.1027,820,82.0,91.9,53.1,0.5777,1.121,0.647,0.583,0.719
600040526,Základní škola Novoborská,Praha 9,"Novoborská 371/10, Střížkov, 190 00 Praha",Městská část Praha 9,2021,2027,895,32,263,0.1217,1150,115.0,108.9,62.9,0.5777,0.947,0.547,0.492,0.608
600040534,Základní škola Litvínovská 500,Praha 9,"Litvínovská 500/5, Prosek, 190 00 Praha",Městská část Praha 9,2024,2030,684,27,263,0.1027,820,82.0,70.2,40.6,0.5777,0.856,0.495,0.445,0.55
600040526,Základní škola Novoborská,Praha 9,"Novoborská 371/10, Střížkov, 190 00 Praha",Městská část Praha 9,2024,2030,684,32,263,0.1217,1150,115.0,83.2,48.1,0.5777,0.724,0.418,0.376,0.464
