year,reference_date,mc,mc_code,count,count_kind,source_slug,kind,notes
2019,2019-12-31,Praha 7,547141,650,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2019'; row 'Živě narození / Live births'
2019,2019-12-31,Praha 8,547158,1074,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2019'; row 'Živě narození / Live births'
2019,2019-12-31,Praha 9,547166,749,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2019'; row 'Živě narození / Live births'
2019,2019-12-31,Praha 10,547174,1259,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2019'; row 'Živě narození / Live births'
2019,2019-12-31,Praha 14,547221,538,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2019'; row 'Živě narození / Live births'
2020,2020-12-31,Praha 3,547107,930,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2020'; row 'Živě narození / Live births'
2020,2020-12-31,Praha 7,547141,610,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2020'; row 'Živě narození / Live births'
2020,2020-12-31,Praha 8,547158,1171,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2020'; row 'Živě narození / Live births'
2020,2020-12-31,Praha 9,547166,774,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2020'; row 'Živě narození / Live births'
2020,2020-12-31,Praha 10,547174,1191,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2020'; row 'Živě narození / Live births'
2020,2020-12-31,Praha 14,547221,561,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2020'; row 'Živě narození / Live births'
2021,2021-12-31,Praha 3,547107,951,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2021'; row 'Živě narození / Live births'
2021,2021-12-31,Praha 7,547141,602,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2021'; row 'Živě narození / Live births'
2021,2021-12-31,Praha 8,547158,1228,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2021'; row 'Živě narození / Live births'
2021,2021-12-31,Praha 9,547166,895,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2021'; row 'Živě narození / Live births'
2021,2021-12-31,Praha 10,547174,1256,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2021'; row 'Živě narození / Live births'
2021,2021-12-31,Praha 14,547221,529,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2021'; row 'Živě narození / Live births'
2022,2022-12-31,Praha 3,547107,872,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2022'; row 'Živě narození / Live births'
