year,reference_date,mc,mc_code,age,age_band_min,age_band_max,count,count_kind,coverage_pct,source_slug,kind,notes
2011,2011-12-31,Praha 14,547221,,15,19,2677,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2011'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2012,2012-12-31,Praha 3,547107,,0,4,3657,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2012,2012-12-31,Praha 3,547107,,5,9,2524,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2012,2012-12-31,Praha 3,547107,,10,14,1993,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2012,2012-12-31,Praha 3,547107,,15,19,2414,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2012,2012-12-31,Praha 7,547141,,0,4,2559,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2012,2012-12-31,Praha 7,547141,,5,9,1680,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2012,2012-12-31,Praha 7,547141,,10,14,1273,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2012,2012-12-31,Praha 7,547141,,15,19,1350,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2012,2012-12-31,Praha 8,547158,,0,4,5958,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2012,2012-12-31,Praha 8,547158,,5,9,4769,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2012,2012-12-31,Praha 8,547158,,10,14,3364,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2012,2012-12-31,Praha 8,547158,,15,19,3648,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2012,2012-12-31,Praha 9,547166,,0,4,3419,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2012,2012-12-31,Praha 9,547166,,5,9,2303,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2012,2012-12-31,Praha 9,547166,,10,14,1693,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2012,2012-12-31,Praha 9,547166,,15,19,1898,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2012,2012-12-31,Praha 10,547174,,0,4,5706,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2012,2012-12-31,Praha 10,547174,,5,9,4276,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2012,2012-12-31,Praha 10,547174,,10,14,3293,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2012,2012-12-31,Praha 10,547174,,15,19,3725,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2012,2012-12-31,Praha 14,547221,,0,4,2633,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2012,2012-12-31,Praha 14,547221,,5,9,2197,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2012,2012-12-31,Praha 14,547221,,10,14,2116,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2012,2012-12-31,Praha 14,547221,,15,19,2510,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2012'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2013,2013-12-31,Praha 3,547107,,0,4,3691,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2013,2013-12-31,Praha 3,547107,,5,9,2759,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2013,2013-12-31,Praha 3,547107,,10,14,2010,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2013,2013-12-31,Praha 3,547107,,15,19,2300,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2013,2013-12-31,Praha 7,547141,,0,4,2558,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2013,2013-12-31,Praha 7,547141,,5,9,1815,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2013,2013-12-31,Praha 7,547141,,10,14,1263,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2013,2013-12-31,Praha 7,547141,,15,19,1358,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2013,2013-12-31,Praha 8,547158,,0,4,5816,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2013,2013-12-31,Praha 8,547158,,5,9,5178,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2013,2013-12-31,Praha 8,547158,,10,14,3458,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
2013,2013-12-31,Praha 8,547158,,15,19,3443,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '15-19'
2013,2013-12-31,Praha 9,547166,,0,4,3545,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '0-4'
2013,2013-12-31,Praha 9,547166,,5,9,2530,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '5-9'
2013,2013-12-31,Praha 9,547166,,10,14,1707,population,,csu-vekove-slozeni-mc-2011-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2013'; 5-year band (single-year-of-age not available in this dataset); row 'Praha N' / col '10-14'
