mc,name,redizo,izo_zs,address,zrizovatel,type,kapacita_registered,snapshot_date,source_url,notes
Praha 14,"Základní škola, Praha 9 - Lehovec, Chvaletická 918",600040585,045244570,"Chvaletická 918/3, Hloubětín, 198 00 Praha",Městská část Praha 14,state,868,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 14,"Základní škola, Praha 9 - Černý Most, Bří. Venclíků 1140",600040496,102301841,"Bratří Venclíků 1140/1, Černý Most, 198 00 Praha",Městská část Praha 14,state,810,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 14,"Základní škola, Praha 9 - Černý Most, Vybíralova 964",600040381,108001296,"Vybíralova 964/8, Černý Most, 198 00 Praha",Městská část Praha 14,state,920,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"FOSTRA Elementary Praha 3 - základní škola, s.r.o.",691019347,250004950,"Roháčova 1148/63, Žižkov, 130 00 Praha",,private,65,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"FOSTRA Elementary School - základní škola, s.r.o.",691018111,181145138,"Roháčova 1148/63, Žižkov, 130 00 Praha",,private,135,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"ScioŠkola Praha Jarov - základní škola, s.r.o.",691009031,181076390,"V zahrádkách 2833/3, Žižkov, 130 00 Praha",,private,160,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola ""Poznávání"" s.r.o.",691013624,181107261,"Perunova 975/6, Vinohrady, 130 00 Praha",,private,180,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola Chmelnice, Praha 3, K Lučinám 18/2500",600036171,102073376,"K lučinám 2500/18, Žižkov, 130 00 Praha",Městská část Praha 3,state,700,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola Pražačka, Praha 3, Nad Ohradou 25/1700",600036227,048134236,"Nad Ohradou 1700/25, Žižkov, 130 00 Praha",Městská část Praha 3,state,500,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola Zahrádka, Praha 3, U Zásobní zahrady 8",600020851,110035577,"U zásobní zahrady 2445/8, Žižkov, 130 00 Praha",Hlavní město Praha,state,40,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,zs_specialni
Praha 3,"Základní škola a mateřská škola Jaroslava Seiferta, Praha 3, Vlkova 31/800",600036219,102073414,"Vlkova 800/31, Žižkov, 130 00 Praha",Městská část Praha 3,state,400,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola a mateřská škola Jarov, Praha 3, V Zahrádkách 48/1966",600036197,102073261,"V zahrádkách 1966/48, Žižkov, 130 00 Praha",Městská část Praha 3,state,320,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola a mateřská škola, Praha 3, Chelčického 43/2614",600036162,102073368,"Chelčického 2614/43, Žižkov, 130 00 Praha",Městská část Praha 3,state,1050,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola a mateřská škola, Praha 3, nám. Jiřího z Lobkovic 22/121",600036111,045241155,"náměstí Jiřího z Lobkovic 121/22, Vinohrady, 130 00 Praha",Městská část Praha 3,state,725,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola, Praha 3, Cimburkova 18/600",600036146,102073309,"Cimburkova 600/18, Žižkov, 130 00 Praha",Městská část Praha 3,state,258,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola, Praha 3, Jeseniova 96/2400",600036201,102073406,"Jeseniova 2400/96, Žižkov, 130 00 Praha",Městská část Praha 3,state,917,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola, Praha 3, Lupáčova 1/1200",600036120,045245088,"Lupáčova 1200/1, Žižkov, 130 00 Praha",Městská část Praha 3,state,735,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 3,"Základní škola, Praha 3, nám. Jiřího z Poděbrad 7,8/1685",600036138,045245754,"náměstí Jiřího z Poděbrad 1685/7, Vinohrady, 130 00 Praha",Městská část Praha 3,state,620,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 7,Bratrská škola - církevní základní škola,600001148,048546119,"Rajská 300/3, Holešovice, 170 00 Praha",Českobratrská církev evangelická,church,220,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 7,"Fakultní základní škola PedF UK a Mateřská škola U Studánky Praha 7, Umělecká 8",600039374,060435216,"Umělecká 850/8, Holešovice, 170 00 Praha",Městská část Praha 7,state,700,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 7,"ScioŠkola Praha Holešovice - základní škola, s.r.o.",691017930,181144115,"Přívozní 1064/2, Holešovice, 170 00 Praha",,private,135,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 7,Základní škola FLOW s.r.o.,691016054,181129167,"Čechova 632/15, Bubeneč, 170 00 Praha",,private,64,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 7,"Základní škola Fr. Plamínkové s rozšířenou výukou jazyků Praha 7, Františka Křížka 2",600039404,062930958,"Františka Křížka 490/2, Holešovice, 170 00 Praha",Městská část Praha 7,state,490,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 7,Základní škola Mamatata z.s.,691016097,181129400,"U garáží 1436/6, Holešovice, 170 00 Praha",,private,65,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 7,"Základní škola Praha 7, Korunovační 8",600039382,061389820,"Korunovační 164/8, Bubeneč, 170 00 Praha",Městská část Praha 7,state,560,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 7,"Základní škola Praha 7, Strossmayerovo náměstí 4",600039391,061389838,"Strossmayerovo náměstí 990/4, Holešovice, 170 00 Praha",Městská část Praha 7,state,1140,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 7,"Základní škola T. G. Masaryka Praha 7, Ortenovo náměstí 34",600039439,062931016,"Ortenovo náměstí 1275/34, Holešovice, 170 00 Praha",Městská část Praha 7,state,650,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 7,"Základní škola a Mateřská škola Praha 7, Tusarova 21",600039412,062930991,"Tusarova 790/21, Holešovice, 170 00 Praha",Městská část Praha 7,state,600,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,Církevní základní škola logopedická Don Bosco a mateřská škola logopedická,600021254,102401420,"Dolákova 555/1, Bohnice, 181 00 Praha",Arcibiskupství pražské,church,150,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Heřmánek Praha, základní škola, gymnázium a střední pedagogická škola, školská právnická osoba",691008426,181071339,"Rajmonova 1199/4, Kobylisy, 182 00 Praha","Focus on education, o.p.s.",private,377,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Královská mateřská škola a základní škola, s.r.o.",691003955,181107414,"Rajmonova 1199/4, Kobylisy, 182 00 Praha",,private,300,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Meridian česko-britská mateřská škola, základní škola a gymnázium s.r.o.",691015856,181127776,"Třeboradická 1110/51, Kobylisy, 182 00 Praha",,private,335,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"PORG - gymnázium, základní škola a mateřská škola, o.p.s.",600006018,151040290,"Lindnerova 517/3, Libeň, 180 00 Praha",,private,757,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,Soukromá střední škola a základní škola (1. KŠPA) Praha s.r.o.,600006310,181054531,"Chabařovická 1125/4, Kobylisy, 182 00 Praha",,private,135,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola Bohumila Hrabala, Praha 8, Zenklova 52",600039897,102261229,"Zenklova 26/52, Libeň, 180 00 Praha",Městská část Praha 8,state,1100,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola LOPES Čimice, Praha 8, Libčická 399",600021246,102261571,"Libčická 399/8, Čimice, 181 00 Praha",Hlavní město Praha,state,300,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola Mazurská, Praha 8, Svídnická 1a",600039854,102401501,"Svídnická 599/1, Troja, 181 00 Praha",Městská část Praha 8,state,630,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,Základní škola a Mateřská škola při Nemocnici Na Bulovce,600021238,102261466,"Bulovka 1606/5, Libeň, 180 00 Praha",Hlavní město Praha,state,144,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola a Mateřská škola, Praha 8, Za Invalidovnou 1",610350803,110350812,"Za invalidovnou 628/1, Karlín, 186 00 Praha",Hlavní město Praha,state,150,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola a mateřská škola Na Slovance, Praha 8, Bedřichovská 1",600039935,102261261,"Bedřichovská 1960/1, Libeň, 182 00 Praha",Městská část Praha 8,state,650,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola a mateřská škola Petra Strozziho, Praha 8, Za Invalidovnou 3",600039889,102261237,"Za invalidovnou 579/3, Karlín, 186 00 Praha",Městská část Praha 8,state,380,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola a mateřská škola Ústavní, Praha 8, Hlivická 1",600039773,102261156,"Hlivická 400/1, Bohnice, 181 00 Praha",Městská část Praha 8,state,750,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola a mateřská škola, Praha 8, Dolákova 1",600039757,102261458,"Dolákova 555/1, Bohnice, 181 00 Praha",Městská část Praha 8,state,475,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola a mateřská škola, Praha 8, Lyčkovo náměstí 6",600039803,102261300,"Lyčkovo náměstí 460/6, Karlín, 186 00 Praha",Městská část Praha 8,state,924,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 8,"Základní škola a mateřská škola, Praha 8, U Školské zahrady 4",600039871,102261334,"U školské zahrady 1030/4, Kobylisy, 182 00 Praha",Městská část Praha 8,state,450,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
